Name,Disc.Y,Disc.M,Disc.D,r_Disc.D,RAh,RAm,RAs,DE-,DEd,DEm,DEs,f_DEs,Obs,tFirst,tLast,tNext,z,r_z,Dist,e_Dist,r_Dist,VExt
PTF10cwm,2010,03,13,2007SDSS6.C...0000:,12,32,55.41,+,04,29,11.3,,7,-1060,392,4,0.07929,2004SDSS2.C...0000:,344,24,2004SDSS2.C...0000:,0.053
PTF10fej,2010,03,25,2007SDSS6.C...0000:,16,06,19.32,+,53,55,16.8,,62,-2142,442,40,0.10995,2003SDSS1.C...0000:,471,33,2003SDSS1.C...0000:,0.026000000000000002
PTF10gsp,2010,04,27,2007SDSS6.C...0000:,13,53,35.97,+,39,58,22.2,,5,-1783,315,315,0.10658,2005SDSS4.C...0000:,459,32,2005SDSS4.C...0000:,0.035
PTF10nda,2010,06,27,2007SDSS6.C...0000:,13,57,09.73,+,61,15,09.1,,5,-1939,295,250,0.10069,2004SDSS2.C...0000:,433,31,2004SDSS2.C...0000:,0.05
PTF10qna,2010,08,02,20032dF...C...0000C,00,47,50.83,-,25,57,56.4,,5,-2476,397,398,0.0945,20032dF...C...0000C,401,28,20032dF...C...0000C,0.040999999999999995
PTF10rbp,2010,08,08,20032MASX.C.......:,01,16,37.78,-,01,49,28.2,,2,-670,446,447,0.0823,2014MNRAS.438.1391P,348,25,2014MNRAS.438.1391P,0.14400000000000002
PTF10trp,2010,08,27,2007SDSS6.C...0000:,21,28,08.01,+,09,51,14,,13,-2248,343,28,0.04888,2004SDSS2.C...0000:,205,15,2004SDSS2.C...0000:,0.121
PTF10ujt,2010,09,01,2007SDSS6.C...0000:,01,49,34.34,-,08,48,02.5,,5,-2524,405,405,0.14276,2003SDSS1.C...0000:,607,43,2003SDSS1.C...0000:,0.071
PTF10vnu,2010,09,16,1990MNRAS.243..692M,01,11,03.36,+,00,26,27.4,,8,-2536,53,11,0.04611,2016SDSSD.C...0000:,193,14,2016SDSSD.C...0000:,0.07400000000000001
PTF11dej,2011,05,04,20032MASX.C.......:,14,15,54.34,+,30,22,09.9,,5,-2171,31,19,0.08223,2011ApJ...735..125S,355,25,2011ApJ...735..125S,0.046
SDSS-II SN 10066,2005,11,03,2007SDSS6.C...0000:,21,36,00.72,-,00,03,14.868,,146,-88,1779,276,0.447,2011ApJ...738..162S,1910,134,2011ApJ...738..162S,0.17
SDSS-II SN 10113,2005,11,01,2010ApJ...713.1026D,03,36,43.628,-,00,08,25.2,,11,-705,1492,404,0.296,2010ApJ...713.1026D,1266,89,2010ApJ...713.1026D,0.276
SDSS-II SN 10146,2005,10,20,2007SDSS6.C...0000:,01,43,07.008,+,01,15,04.824,,8,-381,1093,717,0.28421,2016SDSSD.C...0000:,1213,85,2016SDSSD.C...0000:,0.085
SDSS-II SN 10299,2005,11,05,2007SDSS6.C...0000:,22,49,03.36,+,00,59,36.89,,10,-452,1068,1069,0.238,2011ApJ...738..162S,1014,71,2011ApJ...738..162S,0.255
SDSS-II SN 10450,2005,11,02,2007SDSS6.C...0000:,22,29,06.24,-,01,07,43.212,,21,-448,2170,267,0.272,2011ApJ...738..162S,1160,84,2011ApJ...738..162S,0.183
SDSS-II SN 10559,2005,11,02,2010ApJ...713.1026D,23,36,27.968,-,01,13,35.53,,10,-750,686,325,0.277,2011ApJ...738..162S,1181,83,2011ApJ...738..162S,0.085
SDSS-II SN 11026,2005,10,21,2007SDSS6.C...0000:,21,43,13.68,+,00,53,27.928,,8,-782,1053,1053,0.28429,2016SDSSD.C...0000:,1213,85,2016SDSSD.C...0000:,0.166
SDSS-II SN 11370,2005,11,02,2007SDSS6.C...0000:,00,45,52.104,-,00,42,50.274,,12,-759,704,691,0.4559,2006MNRAS.372..425C,1948,136,2006MNRAS.372..425C,0.054000000000000006
SDSS-II SN 11518,2005,11,23,2007SDSS6.C...0000:,00,33,38.3712,+,00,32,18.409,,12,-784,669,341,0.316,2011ApJ...738..162S,1348,94,2011ApJ...738..162S,0.06
SDSS-II SN 1166,2005,09,09,2007SDSS6.C...0000:,00,37,25.35,+,00,58,23.8,,16,-709,1098,753,0.3824,2011ApJ...740...92G,1633,114,2011ApJ...740...92G,0.053
SDSS-II SN 12199,2005,11,23,2007SDSS6.C...0000:,23,16,39.626,-,01,09,29.61,,8,-821,1050,308,0.31046,2016SDSSD.C...0000:,1324,93,2016SDSSD.C...0000:,0.11800000000000001
SDSS-II SN 12804,2006,08,28,2007SDSS6.C...0000:,01,12,48.408,+,01,02,24.61,,21,-700,1492,65,0.134,2010ApJ...713.1026D,569,40,2010ApJ...713.1026D,0.083
