file,sn_name,band,ra,dec,total_epochs,t_mean_first,t_mean_last,disc_date,epochs_pre_disc,epochs_post_disc,t_delta_first,t_delta_last,t_delta_next
PSc110033-NUV.fits.gz,PSc110033,NUV,34.90313333333334,-3.529244444444444,58,2003-11-21,2010-11-12,2010-12-06,58,0,-2571.0,-24.0,
PSc110422-FUV.fits.gz,PSc110422,FUV,149.5654875,1.754638888888889,71,2004-02-10,2008-03-25,2010-12-15,71,0,-2499.0,-995.0,
PSc110422-NUV.fits.gz,PSc110422,NUV,149.5654875,1.754638888888889,105,2004-02-10,2011-03-09,2010-12-15,93,12,-2499.0,84.0,48.0
PSc110425-FUV.fits.gz,PSc110425,FUV,132.011475,44.44928611111111,8,2007-02-17,2008-03-25,2010-12-16,8,0,-1397.0,-995.0,
PSc110425-NUV.fits.gz,PSc110425,NUV,132.011475,44.44928611111111,9,2007-01-02,2008-03-25,2010-12-16,9,0,-1444.0,-995.0,
PSc110426-FUV.fits.gz,PSc110426,FUV,130.013125,44.89433611111111,7,2004-01-16,2008-03-24,2010-12-16,7,0,-2526.0,-997.0,
PSc110426-NUV.fits.gz,PSc110426,NUV,130.013125,44.89433611111111,8,2004-01-16,2010-01-14,2010-12-16,8,0,-2526.0,-335.0,
PSc110429-FUV.fits.gz,PSc110429,FUV,130.72175,44.62618055555556,8,2004-01-16,2008-03-24,2010-11-30,8,0,-2510.0,-980.0,
PSc110429-NUV.fits.gz,PSc110429,NUV,130.72175,44.62618055555556,9,2004-01-16,2008-03-24,2010-11-30,9,0,-2510.0,-980.0,
PSc110431-FUV.fits.gz,PSc110431,FUV,131.356275,44.060275,10,2004-01-16,2008-03-24,2010-12-16,10,0,-2526.0,-997.0,
PSc110431-NUV.fits.gz,PSc110431,NUV,131.356275,44.060275,11,2004-01-16,2008-03-24,2010-12-16,11,0,-2526.0,-997.0,
PSc110460-FUV.fits.gz,PSc110460,FUV,53.84475833333333,-27.84027777777778,39,2005-12-11,2008-12-12,2010-12-16,39,0,-1831.0,-733.0,
PSc110460-NUV.fits.gz,PSc110460,NUV,53.84475833333333,-27.84027777777778,69,2005-12-11,2010-12-08,2010-12-16,69,0,-1831.0,-7.0,
PSc110464-FUV.fits.gz,PSc110464,FUV,131.7658875,44.28116388888889,14,2004-01-16,2008-03-25,2010-11-30,14,0,-2510.0,-979.0,
PSc110464-NUV.fits.gz,PSc110464,NUV,131.7658875,44.28116388888889,16,2004-01-16,2008-03-25,2010-11-30,16,0,-2510.0,-979.0,
PSc110476-FUV.fits.gz,PSc110476,FUV,151.3277,2.083027777777778,16,2006-02-03,2008-03-24,2010-12-15,16,0,-1775.0,-996.0,
PSc110476-NUV.fits.gz,PSc110476,NUV,151.3277,2.083027777777778,38,2005-03-13,2011-03-21,2010-12-15,28,10,-2102.0,97.0,48.0
PSc110478-FUV.fits.gz,PSc110478,FUV,53.58030416666666,-27.56890277777778,76,2003-11-09,2008-12-12,2010-12-16,76,0,-2593.0,-734.0,
PSc110478-NUV.fits.gz,PSc110478,NUV,53.58030416666666,-27.56890277777778,195,2003-11-09,2010-12-08,2010-12-16,195,0,-2593.0,-8.0,
PSc110536-FUV.fits.gz,PSc110536,FUV,54.33251666666666,-26.90174722222222,26,2003-12-07,2008-12-12,2010-12-16,26,0,-2565.0,-733.0,
PSc110536-NUV.fits.gz,PSc110536,NUV,54.33251666666666,-26.90174722222222,62,2003-12-07,2010-12-08,2010-12-16,62,0,-2565.0,-7.0,
PSc110567-FUV.fits.gz,PSc110567,FUV,52.71314583333334,-26.45998333333333,34,2005-12-10,2008-12-12,2010-12-16,34,0,-1831.0,-734.0,
