name,SDSS,ESSENCE,PanSTARRS,PanSTARRS2,SNLS,rochester,Nspec,OSC,manual,total
SDSS-II SN 13836,0.954,0,0,0,0,0,0,1,0,0.954
SDSS-II SN 13839,-1,0,0,0,0,0,0,-1,0,-1
SDSS-II SN 13843,0.997,0,0,0,0,0,0,1,0,0.997
SDSS-II SN 1385,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 13859,0.995,0,0,0,0,0,0,1,0,0.995
SDSS-II SN 13864,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 13867,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 13896,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 13901,0.976,0,0,0,0,0,0,1,0,0.976
SDSS-II SN 13902,0.997,0,0,0,0,0,0,1,0,0.997
SDSS-II SN 13903,0.5,0,0,0,0,0,0,1,0,0.5
SDSS-II SN 13904,0,0,0,0,0,0,0,1,-1,-1
SDSS-II SN 13907,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 13908,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 13909,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 13942,0,0,0,0,0,0,0,1,-1,-1
SDSS-II SN 13946,0.384,0,0,0,0,0,0,1,0,0.384
SDSS-II SN 13958,0,0,0,0,0,0,0,1,-1,-1
SDSS-II SN 13998,0,0,0,0,0,0,0,1,-1,-1
SDSS-II SN 1403,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 14035,0,0,0,0,0,0,0,1,-1,-1
SDSS-II SN 14046,0.993,0,0,0,0,0,0,1,0,0.993
SDSS-II SN 14074,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 14093,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 14113,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 14137,0.999,0,0,0,0,0,0,1,0,0.999
SDSS-II SN 1415,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 14169,-1,0,0,0,0,0,0,-1,0,-1
SDSS-II SN 14177,-1,0,0,0,0,0,0,-1,0,-1
SDSS-II SN 14205,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 14223,0.621,0,0,0,0,0,0,1,0,0.621
SDSS-II SN 14231,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 14250,0.99,0,0,0,0,0,0,1,0,0.99
SDSS-II SN 14268,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 14305,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 14317,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 14322,0.927,0,0,0,0,0,0,1,0,0.927
SDSS-II SN 14327,0.99,0,0,0,0,0,0,1,0,0.99
SDSS-II SN 14330,0.999,0,0,0,0,0,0,1,0,0.999
SDSS-II SN 14333,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 14343,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 14346,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 14347,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 14361,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 14389,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 14403,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 14438,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 14445,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 14446,-1,0,0,0,0,0,0,1,0,-1
SDSS-II SN 14453,0.888,0,0,0,0,0,0,1,0,0.888
SDSS-II SN 14470,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 14478,0.985,0,0,0,0,0,0,1,0,0.985
SDSS-II SN 14480,0.979,0,0,0,0,0,0,1,0,0.979
SDSS-II SN 14498,0.967,0,0,0,0,0,0,1,0,0.967
SDSS-II SN 14500,0.979,0,0,0,0,0,0,1,0,0.979
SDSS-II SN 14505,1,0,0,0,0,0,0,-1,0,1
SDSS-II SN 14523,-1,0,0,0,0,0,0,1,0,-1
SDSS-II SN 14524,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 14525,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 14531,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 14617,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 14624,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 14638,0.996,0,0,0,0,0,0,1,0,0.996
SDSS-II SN 14644,0.989,0,0,0,0,0,0,1,0,0.989
SDSS-II SN 14654,0.987,0,0,0,0,0,0,1,0,0.987
SDSS-II SN 14708,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 14750,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 14760,0.753,0,0,0,0,0,0,1,0,0.753
SDSS-II SN 14771,0.931,0,0,0,0,0,0,1,0,0.931
SDSS-II SN 1478,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 14784,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 14786,0.999,0,0,0,0,0,0,1,0,0.999
SDSS-II SN 14809,0,0,0,0,0,0,0,1,-1,-1
SDSS-II SN 14845,0.982,0,0,0,0,0,0,1,0,0.982
SDSS-II SN 14858,0,0,0,0,0,0,0,1,-1,-1
SDSS-II SN 14876,0.785,0,0,0,0,0,0,1,0,0.785
SDSS-II SN 14883,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 14888,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 14900,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 14907,0.994,0,0,0,0,0,0,1,0,0.994
SDSS-II SN 14916,0.994,0,0,0,0,0,0,1,0,0.994
SDSS-II SN 14925,0,0,0,0,0,0,0,1,-1,-1
SDSS-II SN 14951,0.742,0,0,0,0,0,0,1,0,0.742
SDSS-II SN 14963,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 14972,0.974,0,0,0,0,0,0,1,0,0.974
SDSS-II SN 15006,0.933,0,0,0,0,0,0,1,0,0.933
SDSS-II SN 15008,0.805,0,0,0,0,0,0,1,0,0.805
SDSS-II SN 15033,1,0,0,0,0,0,0,1,0,1
