name,disc_date,galex_ra,galex_dec,osc_host,epochs_total,epochs_pre,epochs_post,delta_t_first,delta_t_last,delta_t_next,ned_objname,ned_ra,ned_dec,posn_ref,ned_type,z,z_err,z_ref,h_dist,h_dist_err,a_v,a_k,sep,offset,offset_verdict,z_indep_dist,z_indep_dist_err,z_indep_ref,pgc,pref_dist,pref_dist_err,pref_dist_ref,P_Ia
PS1-11zu,2011-05-27,16h06m28.184s,53d52m18.49s,,43,41,2,2570,14,11,PS1-11zu,16h06m28.1839s,+53d52m18.491s,2014ApJ...795...44R,SN,0.36,0.001,2014ApJ...795...44R,1542.15,108.12,0.03,0.003,0.0,0.01348473,,,,,,1542.15,108.12,2014ApJ...795...44R,2.0
PS1-11zv,2011-05-27,16h11m37.152s,53d58m12.96s,,43,41,2,2570,14,11,PS1-11zv,16h11m37.1520s,+53d58m12.961s,2014ApJ...795...44R,SN,0.35,0.001,2014ApJ...795...44R,1499.25,105.12,0.026000000000000002,0.003,0.0,0.007272205,,,,,,1499.25,105.12,2014ApJ...795...44R,2.0
PS1-11zw,2011-05-27,16h10m25.814s,54d08m58.48s,,44,42,2,2570,14,11,PS1-11zw,16h10m25.8139s,+54d08m58.481s,2014ApJ...795...44R,SN,0.423,0.001,2014ApJ...795...44R,1811.9,126.98,0.032,0.004,0.0,0.015844558,,,,,,1811.9,126.98,2014ApJ...795...44R,2.0
PSc000022,2010-01-03,2h24m34.669s,-4d23m41.75s,,200,190,10,2259,313,298,WISEA J022434.58-042342.4,02h24m34.579s,-04d23m42.50s,2008MNRAS.386..697R,G,0.2527,,2018ApJ...857...51J,1180.47,82.74,0.067,0.006999999999999999,0.026000000000000002,8.870399045,,,,,,1180.47,82.74,2008MNRAS.386..697R,0.9076
PSc040318,2010-05-09,14h17m19.798s,53d06m45.28s,,246,240,6,2515,389,308,WISEA J141719.78+530645.1,14h17m19.792s,+53d06m45.14s,2007SDSS6.C...0000:,G,0.2995,,2018ApJ...857...51J,1325.04,92.85,0.028999999999999998,0.003,0.003,1.0685539290000001,,,,,,1325.04,92.85,2005ApJS..158..161H,0.9033
PSc061197,2010-07-29,2h21m54.589s,-4d11m18.99s,,74,56,18,2082,106,89,WISEA J022154.59-041118.7,02h21m54.590s,-04d11m19.07s,2008MNRAS.386..697R,VisS,0.32899999999999996,,2018ApJ...857...51J,1155.3,80.98,0.062,0.006999999999999999,0.001,0.457583825,,,,,,1155.3,80.98,2008MNRAS.386..697R,0.9122
PSc070054,2010-08-03,16h11m45.287s,55d17m56.99s,,48,40,8,2590,311,262,WISEA J161145.16+551757.6,16h11m45.177s,+55d17m57.51s,2007SDSS6.C...0000:,G,0.4468,,2018ApJ...857...51J,1916.96,134.26,0.02,0.002,0.018000000000000002,16.08703632,,,,,,1916.96,134.26,2016SDSSD.C...0000:,0.9755
PSc070567,2010-08-14,22h13m18.456s,0d48m46.22s,,11,9,2,2198,23,4,WISEA J221318.41+004845.9,22h13m18.422s,+00d48m45.89s,2007SDSS6.C...0000:,G,0.1704,0.00016,2004SDSS2.C...0000:,724.68,50.91,0.107,0.012,0.011000000000000001,2.150705051,,,,,,724.68,50.91,2004SDSS2.C...0000:,0.9461
PSc080064,2010-09-03,3h29m42.071s,-27d52m38.11s,,58,47,11,2489,96,78,PS1-10aeq,03h29m42.0710s,-27d52m38.111s,2014ApJ...795...44R,SN,0.066,0.001,2014ApJ...795...44R,280.95,20.58,0.024,0.003,0.0,0.00137133,,,,,,280.95,20.58,2014ApJ...795...44R,2.0
PSc080438,2010-09-08,3h31m44.958s,-27d40m58.79s,,220,125,95,2494,91,73,WISEA J033144.93-274056.2,03h31m44.951s,-27d40m56.63s,2001A&A...377..442W,G,0.4184,,2018ApJ...857...51J,1801.36,126.17,0.024,0.003,0.036000000000000004,18.9167468,,,,,,1801.36,126.17,2004ApJS..155..271S,0.9766
PSc080646,2010-09-10,22h18m29.334s,0d56m29.35s,,127,126,1,2566,397,397,PS1-10agw,22h18m29.3340s,+00d56m29.350s,2014ApJ...795...44R,SN,0.33,0.01,2014ApJ...795...44R,1408.18,107.57,0.168,0.018000000000000002,0.0,0.0,,,,,,1408.18,107.57,2014ApJ...795...44R,2.0
PSc080723,2010-09-29,2h19m56.728s,-3d57m38.18s,,49,40,9,2166,44,26,PS1-10ahk,02h19m56.7281s,-03d57m38.182s,2014ApJ...795...44R,SN,0.431,0.001,2014ApJ...795...44R,1842.33,129.1,0.055999999999999994,0.006,0.0,0.022388002999999997,,,,,,1842.33,129.1,2014ApJ...795...44R,2.0
PSc090275,2010-10-13,3h36m17.301s,-28d03m05.44s,,69,59,10,1766,56,39,PS1-10ayb,03h36m17.3011s,-28d03m05.440s,2014ApJ...795...44R,SN,0.14,0.001,2014ApJ...795...44R,598.0,42.3,0.028999999999999998,0.003,0.0,0.004363323,,,,,,598.0,42.3,2014ApJ...795...44R,2.0
PSc091748,2010-10-31,3h28m29.494s,-26d49m42.58s,,61,51,10,1785,38,21,PS1-10bji,03h28m29.4941s,-26d49m42.578s,2014ApJ...795...44R,SN,0.14800000000000002,0.001,2014ApJ...795...44R,632.09,44.66,0.028999999999999998,0.003,0.0,0.00768776,,,,,,632.09,44.66,2014ApJ...795...44R,2.0
PSc100163,2010-11-10,2h21m46.162s,-5d09m05.76s,,93,91,2,2207,2,1,PS1-10blh,02h21m46.1621s,-05d09m05.760s,2014ApJ...795...44R,SN,0.319,0.001,2014ApJ...795...44R,1362.71,95.59,0.063,0.006999999999999999,0.0,0.009942143,,,,,,1362.71,95.59,2014ApJ...795...44R,2.0
PSc100164,2010-10-29,2h21m28.917s,-5d01m34.02s,,93,84,9,2195,14,1,WISEA J022128.92-050134.9,02h21m28.918s,-05d01m34.54s,2008MNRAS.386..697R,VisS,0.4049,,2018ApJ...857...51J,1707.84,119.63,0.06,0.006999999999999999,0.009000000000000001,4.3191337160000005,,,,,,1707.84,119.63,2008MNRAS.386..697R,0.9568
PSc100206,2010-11-07,3h30m04.362s,-28d15m24.09s,,55,46,9,2530,31,13,PS1-10blp,03h30m04.3620s,-28d15m24.091s,2014ApJ...795...44R,SN,0.217,0.001,2014ApJ...795...44R,927.67,65.22,0.022000000000000002,0.002,0.0,0.004508767,,,,,,927.67,65.22,2014ApJ...795...44R,2.0
PSc100405,2010-11-24,3h34m30.852s,-27d19m14.09s,,63,55,8,2543,14,1,PS1-10bmk,03h34m30.8520s,-27d19m14.092s,2014ApJ...795...44R,SN,0.10300000000000001,0.001,2014ApJ...795...44R,439.49,31.35,0.031,0.003,0.0,0.004280212,,,,,,439.49,31.35,2014ApJ...795...44R,2.0
PSc150210,2011-03-31,9h58m16.059s,2d30m57.57s,,163,162,1,2605,299,300,WISEA J095815.40+023100.2,09h58m15.414s,+02d31m00.36s,2007SDSS6.C...0000:,G,0.4762,,2018ApJ...857...51J,2104.99,147.35,0.055999999999999994,0.006,0.168,,ok,,,,,1739.47,121.76,2008ApJS..176...19F,0.9764
